Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
European Union - 27 countries (from 2020),85.6,94.06,102.09,103.44,99.54,100,100.61,98.48,96.78,97.47,99.7,103.99,108.95,114.42,119.98,126.68,137.32,147.91,147.52
Euro area - 19 countries  (2015-2022),89.83,96.37,100.93,102.33,99.11,100,101.13,99.06,97.14,97.44,99.04,103.01,107.53,112.7,117.61,123.77,133.52,142.92,141.16
Belgium,79.53,87.33,94.11,98.2,97.8,100,103.58,106.02,107.59,107.23,109.17,111.72,115.67,119.16,123.62,128.92,137.52,145.12,148.69
Bulgaria,75.69,86.82,111.92,139.86,111.32,100,94.49,92.69,90.65,91.95,94.52,101.15,109.91,117.16,124.21,129.87,141.14,160.6,176.43
Czechia,:,:,:,105.9,101.8,100,100,98.6,98.6,101,105.1,112.5,125.8,136.5,149,161.6,193.5,226.1,222.3
Denmark,91.47,113.49,116.53,110.51,97.28,100,98.3,95.65,99.37,103.12,110.3,116.06,121.33,126.64,129.61,136.21,152.19,151.48,146.05
Germany,99.4,99,96.9,98.2,99,100,103.5,107.1,110.4,113.9,119.3,128.2,136.1,145.1,153.5,165.4,184.6,194.3,177.9
Estonia,92.35,138.06,166.72,150.69,94.63,100,108.49,116.39,128.79,146.45,156.5,163.92,172.95,183.2,196.04,207.81,239.09,292.27,309.43
Ireland,124.46,142.98,153.65,142.98,115.6,100,82.92,71.76,72.66,84.67,94.38,101.42,112.44,123.94,126.85,127.24,137.77,154.74,159.53
Spain,:,100.71,110.58,109,101.8,100,92.36,78.71,71.52,71.75,74.32,77.76,82.57,88.13,92.69,94.76,98.25,105.52,109.76
France,84.94,94.76,100.83,101.78,95.57,100,105.73,105.15,103.2,101.62,100.26,101.31,104.51,107.57,111.14,116.92,124.3,132.16,131.6
Croatia,:,:,:,112.38,106.76,100,100.18,98.61,94.71,93.22,90.53,91.33,94.82,100.61,109.63,118.03,126.66,145.46,162.83
Italy,:,:,:,:,:,100,101.4,98.8,92.4,88,84.7,84.9,84,83.5,83.4,85,87.2,90.5,91.6
Cyprus,85.97,96.17,107.46,113.52,106.08,100,98.4,95.39,91.49,89.88,88.58,88.81,90.81,92.4,95.84,95.65,92.41,94.89,97.67
Latvia,:,130.02,177.19,179.15,112.31,100,110.42,113.71,121.5,128.78,124.46,135.03,146.87,160.92,175.33,181.42,201.18,229.01,237.69
Lithuania,:,111.93,141.39,154.1,107.98,100,106.6,106.36,107.65,114.57,118.76,125.18,136.33,146.29,156.3,167.66,194.58,231.64,254.37
Luxembourg,:,:,92.86,95.96,94.86,100,103.68,108.03,113.42,118.39,124.78,132.28,139.7,149.56,164.69,188.56,214.81,235.33,214.01
Hungary,:,:,105.61,108.12,102.45,100,96.57,93,90.62,94.41,106.77,121.06,135.86,155.35,181.69,190.67,222.12,271.75,287.01
Malta,64.19,76.94,93.09,103.41,98.94,100,98.64,101.65,101.23,103.82,109.85,115.84,121.96,129.01,136.92,141.55,148.77,158.67,167.01
Netherlands,95.36,99.41,104.22,106.52,101.78,100,98.03,91.46,85.94,86.66,89.71,94.45,102.06,111.59,119.64,129.22,147.96,167.57,164.38
Austria,:,:,:,:,:,100,105.36,112.34,117.94,122.44,129.33,138,145.02,153.68,162.91,175.25,195.3,217.9,212.31
Poland,:,:,:,:,:,100,100.07,96.58,92.35,93.27,94.69,96.45,100.16,106.75,116.01,128.17,139.92,156.43,170.23
Portugal,:,:,:,100.16,99.24,100,95.1,88.38,86.71,90.39,93.15,99.77,109,120.19,132.16,143.75,157.27,177.14,191.66
Romania,:,:,:,:,108.15,100,87.69,83.25,83.03,81.33,83.65,88.63,93.99,99.23,102.63,107.44,112.17,120.21,124.17
Slovenia,:,:,103.11,110.32,99.87,100,102.71,95.64,90.62,84.64,85.32,88.1,95.38,103.71,110.65,115.75,129.11,148.16,158.74
Slovakia,:,78.51,101.26,119.39,104.17,100,98.5,95.84,96.7,98.06,103.33,110.25,116.75,125.35,136.79,149.88,159.46,181.3,181.44
Finland,81.22,86.87,92,92.73,94.07,100,103.18,105.67,106.89,106.51,106.52,107.89,109.06,110.07,110.53,112.48,117.65,119.03,112.39
Sweden,70.36,79.03,88.88,89.87,92.7,100,102.58,103.87,109.22,119.52,135.2,146.34,156.06,154.6,158.44,165.09,181.79,188.27,178.37
Iceland,84.14,98.3,107.53,114.22,103.13,100,104.64,111.86,118.31,128.28,138.85,152.41,182.17,197.18,205.9,219.09,246.54,298.31,321.53
Norway,71.59,81.39,91.64,90.66,92.38,100,108.17,115.46,120.43,123.72,131.99,142.39,150.13,152.48,158.62,166.45,181.69,192.32,194.85
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
United Kingdom,91.64,98.79,108.58,103.79,94.53,100,98.53,98.9,101.44,109.58,116.08,124.19,129.85,134.1,135.42,:,:,:,:
