Name,YearMonth,Date,Price
City of Glasgow,2004-01,1/1/2004,80685.00
City of Glasgow,2004-02,1/2/2004,83091.00
City of Glasgow,2004-03,1/3/2004,83218.00
City of Glasgow,2004-04,1/4/2004,86514.00
City of Glasgow,2004-05,1/5/2004,88800.00
City of Glasgow,2004-06,1/6/2004,94105.00
City of Glasgow,2004-07,1/7/2004,94649.00
City of Glasgow,2004-08,1/8/2004,94804.00
City of Glasgow,2004-09,1/9/2004,93158.00
City of Glasgow,2004-10,1/10/2004,95178.00
City of Glasgow,2004-11,1/11/2004,95280.00
City of Glasgow,2004-12,1/12/2004,96314.00
City of Glasgow,2005-01,1/1/2005,96182.00
City of Glasgow,2005-02,1/2/2005,97130.00
City of Glasgow,2005-03,1/3/2005,98352.00
City of Glasgow,2005-04,1/4/2005,99790.00
City of Glasgow,2005-05,1/5/2005,100852.00
City of Glasgow,2005-06,1/6/2005,102969.00
City of Glasgow,2005-07,1/7/2005,106158.00
City of Glasgow,2005-08,1/8/2005,110075.00
City of Glasgow,2005-09,1/9/2005,110706.00
City of Glasgow,2005-10,1/10/2005,107870.00
City of Glasgow,2005-11,1/11/2005,105843.00
City of Glasgow,2005-12,1/12/2005,103963.00
City of Glasgow,2006-01,1/1/2006,105442.00
City of Glasgow,2006-02,1/2/2006,105818.00
City of Glasgow,2006-03,1/3/2006,106078.00
City of Glasgow,2006-04,1/4/2006,106100.00
City of Glasgow,2006-05,1/5/2006,107886.00
City of Glasgow,2006-06,1/6/2006,110263.00
City of Glasgow,2006-07,1/7/2006,114150.00
City of Glasgow,2006-08,1/8/2006,116908.00
City of Glasgow,2006-09,1/9/2006,120320.00
City of Glasgow,2006-10,1/10/2006,119793.00
City of Glasgow,2006-11,1/11/2006,118970.00
City of Glasgow,2006-12,1/12/2006,117265.00
City of Glasgow,2007-01,1/1/2007,116609.00
City of Glasgow,2007-02,1/2/2007,116709.00
City of Glasgow,2007-03,1/3/2007,117601.00
City of Glasgow,2007-04,1/4/2007,120812.00
City of Glasgow,2007-05,1/5/2007,124005.00
City of Glasgow,2007-06,1/6/2007,127916.00
City of Glasgow,2007-07,1/7/2007,130473.00
City of Glasgow,2007-08,1/8/2007,130438.00
City of Glasgow,2007-09,1/9/2007,128665.00
City of Glasgow,2007-10,1/10/2007,123122.00
City of Glasgow,2007-11,1/11/2007,122686.00
City of Glasgow,2007-12,1/12/2007,123206.00
City of Glasgow,2008-01,1/1/2008,126252.00
City of Glasgow,2008-02,1/2/2008,125521.00
City of Glasgow,2008-03,1/3/2008,124061.00
City of Glasgow,2008-04,1/4/2008,122650.00
City of Glasgow,2008-05,1/5/2008,124049.00
City of Glasgow,2008-06,1/6/2008,126327.00
City of Glasgow,2008-07,1/7/2008,127523.00
City of Glasgow,2008-08,1/8/2008,124028.00
City of Glasgow,2008-09,1/9/2008,117958.00
City of Glasgow,2008-10,1/10/2008,111835.00
City of Glasgow,2008-11,1/11/2008,109781.00
City of Glasgow,2008-12,1/12/2008,108273.00
City of Glasgow,2009-01,1/1/2009,107441.00
City of Glasgow,2009-02,1/2/2009,104370.00
City of Glasgow,2009-03,1/3/2009,104902.00
City of Glasgow,2009-04,1/4/2009,106564.00
City of Glasgow,2009-05,1/5/2009,110683.00
City of Glasgow,2009-06,1/6/2009,113196.00
City of Glasgow,2009-07,1/7/2009,117888.00
City of Glasgow,2009-08,1/8/2009,119994.00
City of Glasgow,2009-09,1/9/2009,120185.00
City of Glasgow,2009-10,1/10/2009,116392.00
City of Glasgow,2009-11,1/11/2009,114543.00
City of Glasgow,2009-12,1/12/2009,114381.00
City of Glasgow,2010-01,1/1/2010,112739.00
City of Glasgow,2010-02,1/2/2010,107849.00
City of Glasgow,2010-03,1/3/2010,103363.00
City of Glasgow,2010-04,1/4/2010,103657.00
City of Glasgow,2010-05,1/5/2010,107177.00
City of Glasgow,2010-06,1/6/2010,110674.00
City of Glasgow,2010-07,1/7/2010,112925.00
City of Glasgow,2010-08,1/8/2010,114748.00
City of Glasgow,2010-09,1/9/2010,114901.00
City of Glasgow,2010-10,1/10/2010,112819.00
City of Glasgow,2010-11,1/11/2010,110749.00
City of Glasgow,2010-12,1/12/2010,108267.00
City of Glasgow,2011-01,1/1/2011,107907.00
City of Glasgow,2011-02,1/2/2011,104960.00
City of Glasgow,2011-03,1/3/2011,103698.00
City of Glasgow,2011-04,1/4/2011,102962.00
City of Glasgow,2011-05,1/5/2011,104381.00
City of Glasgow,2011-06,1/6/2011,107152.00
City of Glasgow,2011-07,1/7/2011,111189.00
City of Glasgow,2011-08,1/8/2011,112514.00
City of Glasgow,2011-09,1/9/2011,113619.00
City of Glasgow,2011-10,1/10/2011,110689.00
City of Glasgow,2011-11,1/11/2011,109908.00
City of Glasgow,2011-12,1/12/2011,106555.00
City of Glasgow,2012-01,1/1/2012,104220.00
City of Glasgow,2012-02,1/2/2012,100850.00
City of Glasgow,2012-03,1/3/2012,100363.00
City of Glasgow,2012-04,1/4/2012,99940.00
City of Glasgow,2012-05,1/5/2012,101708.00
City of Glasgow,2012-06,1/6/2012,102731.00
City of Glasgow,2012-07,1/7/2012,104888.00
City of Glasgow,2012-08,1/8/2012,104956.00
City of Glasgow,2012-09,1/9/2012,104124.00
City of Glasgow,2012-10,1/10/2012,102579.00
City of Glasgow,2012-11,1/11/2012,101475.00
City of Glasgow,2012-12,1/12/2012,100073.00
City of Glasgow,2013-01,1/1/2013,99149.00
City of Glasgow,2013-02,1/2/2013,97175.00
City of Glasgow,2013-03,1/3/2013,96139.00
City of Glasgow,2013-04,1/4/2013,96732.00
City of Glasgow,2013-05,1/5/2013,99291.00
City of Glasgow,2013-06,1/6/2013,101615.00
City of Glasgow,2013-07,1/7/2013,105196.00
City of Glasgow,2013-08,1/8/2013,107261.00
City of Glasgow,2013-09,1/9/2013,108221.00
City of Glasgow,2013-10,1/10/2013,104076.00
City of Glasgow,2013-11,1/11/2013,102846.00
City of Glasgow,2013-12,1/12/2013,101414.00
City of Glasgow,2014-01,1/1/2014,101580.00
City of Glasgow,2014-02,1/2/2014,100630.00
City of Glasgow,2014-03,1/3/2014,100384.00
City of Glasgow,2014-04,1/4/2014,100836.00
City of Glasgow,2014-05,1/5/2014,102232.00
City of Glasgow,2014-06,1/6/2014,104451.00
City of Glasgow,2014-07,1/7/2014,107648.00
City of Glasgow,2014-08,1/8/2014,111021.00
City of Glasgow,2014-09,1/9/2014,112258.00
City of Glasgow,2014-10,1/10/2014,111894.00
City of Glasgow,2014-11,1/11/2014,109374.00
City of Glasgow,2014-12,1/12/2014,106637.00
City of Glasgow,2015-01,1/1/2015,106035.00
City of Glasgow,2015-02,1/2/2015,104327.00
City of Glasgow,2015-03,1/3/2015,105685.00
City of Glasgow,2015-04,1/4/2015,105891.00
City of Glasgow,2015-05,1/5/2015,108717.00
City of Glasgow,2015-06,1/6/2015,111221.00
City of Glasgow,2015-07,1/7/2015,113668.00
City of Glasgow,2015-08,1/8/2015,115264.00
City of Glasgow,2015-09,1/9/2015,115202.00
City of Glasgow,2015-10,1/10/2015,115163.00
City of Glasgow,2015-11,1/11/2015,114892.00
City of Glasgow,2015-12,1/12/2015,115263.00
City of Glasgow,2016-01,1/1/2016,113415.00
City of Glasgow,2016-02,1/2/2016,110403.00
City of Glasgow,2016-03,1/3/2016,108847.00
City of Glasgow,2016-04,1/4/2016,108316.00
City of Glasgow,2016-05,1/5/2016,111788.00
City of Glasgow,2016-06,1/6/2016,113948.00
City of Glasgow,2016-07,1/7/2016,117634.00
City of Glasgow,2016-08,1/8/2016,118867.00
City of Glasgow,2016-09,1/9/2016,118565.00
City of Glasgow,2016-10,1/10/2016,116765.00
City of Glasgow,2016-11,1/11/2016,116129.00
City of Glasgow,2016-12,1/12/2016,116796.00
City of Glasgow,2017-01,1/1/2017,118007.00
City of Glasgow,2017-02,1/2/2017,117168.00
City of Glasgow,2017-03,1/3/2017,115148.00
City of Glasgow,2017-04,1/4/2017,116534.00
City of Glasgow,2017-05,1/5/2017,118640.00
City of Glasgow,2017-06,1/6/2017,122732.00
City of Glasgow,2017-07,1/7/2017,124111.00
City of Glasgow,2017-08,1/8/2017,125249.00
City of Glasgow,2017-09,1/9/2017,124529.00
City of Glasgow,2017-10,1/10/2017,123779.00
City of Glasgow,2017-11,1/11/2017,124683.00
City of Glasgow,2017-12,1/12/2017,126223.00
City of Glasgow,2018-01,1/1/2018,127097.00
City of Glasgow,2018-02,1/2/2018,126515.00
City of Glasgow,2018-03,1/3/2018,124415.00
City of Glasgow,2018-04,1/4/2018,125418.00
City of Glasgow,2018-05,1/5/2018,125673.00
City of Glasgow,2018-06,1/6/2018,129370.00
City of Glasgow,2018-07,1/7/2018,132094.00
City of Glasgow,2018-08,1/8/2018,135834.00
City of Glasgow,2018-09,1/9/2018,136499.00
City of Glasgow,2018-10,1/10/2018,134407.00
City of Glasgow,2018-11,1/11/2018,133054.00
City of Glasgow,2018-12,1/12/2018,130783.00
City of Glasgow,2019-01,1/1/2019,129633.00
City of Glasgow,2019-02,1/2/2019,129405.00
City of Glasgow,2019-03,1/3/2019,130458.00
City of Glasgow,2019-04,1/4/2019,131527.00
City of Glasgow,2019-05,1/5/2019,131523.00
City of Glasgow,2019-06,1/6/2019,134489.00
City of Glasgow,2019-07,1/7/2019,136827.00
City of Glasgow,2019-08,1/8/2019,138911.00
City of Glasgow,2019-09,1/9/2019,137925.00
City of Glasgow,2019-10,1/10/2019,137468.00
City of Glasgow,2019-11,1/11/2019,135873.00
City of Glasgow,2019-12,1/12/2019,136054.00
City of Glasgow,2020-01,1/1/2020,135881.00
City of Glasgow,2020-02,1/2/2020,135625.00
City of Glasgow,2020-03,1/3/2020,133366.00
City of Glasgow,2020-04,1/4/2020,131824.00
City of Glasgow,2020-05,1/5/2020,132618.00
City of Glasgow,2020-06,1/6/2020,135883.00
City of Glasgow,2020-07,1/7/2020,138686.00
City of Glasgow,2020-08,1/8/2020,140672.00
City of Glasgow,2020-09,1/9/2020,144043.00
City of Glasgow,2020-10,1/10/2020,146961.00
City of Glasgow,2020-11,1/11/2020,149927.00
City of Glasgow,2020-12,1/12/2020,150447.00
City of Glasgow,2021-01,1/1/2021,152331.00
City of Glasgow,2021-02,1/2/2021,151929.00
City of Glasgow,2021-03,1/3/2021,152953.00
City of Glasgow,2021-04,1/4/2021,150179.00
City of Glasgow,2021-05,1/5/2021,150917.00
City of Glasgow,2021-06,1/6/2021,151641.00
City of Glasgow,2021-07,1/7/2021,157038.00
City of Glasgow,2021-08,1/8/2021,161583.00
City of Glasgow,2021-09,1/9/2021,163167.00
City of Glasgow,2021-10,1/10/2021,162549.00
